image_path,true_idx,true_label,pred_idx,pred_label,top5_idx
data\raw\val\06273_Plantae_Tracheophyta_Liliopsida_Poales_Cyperaceae_Carex_vulpinoidea\2e994d63-df80-41a0-94c6-2d497fb798dc.jpg,298,Carex vulpinoidea,428,Plantago maritima,428 305 402 304 298
data\raw\val\09593_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Simaroubaceae_Ailanthus_altissima\a43da66b-53de-445d-8260-98df1cc35732.jpg,479,Ailanthus altissima,376,Acacia saligna,376 355 347 375 487
data\raw\val\07042_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Tetraneuris_scaposa\000bfbe2-29db-4cbe-9e40-9285355bac72.jpg,337,Tetraneuris scaposa,326,Helianthus maximiliani,326 337 332 333 285
data\raw\val\06551_Plantae_Tracheophyta_Magnoliopsida_Apiales_Araliaceae_Aralia_racemosa\52758ee6-d487-41b4-928b-579542b9c5cc.jpg,311,Aralia racemosa,416,Origanum vulgare,416 311 345 362 481
data\raw\val\04640_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Tragelaphus_angasii\eff0da99-e202-478b-830e-7d48717d65ec.jpg,213,Tragelaphus angasii,211,Alcelaphus buselaphus,211 213 214 220 212
data\raw\val\00809_Animalia_Arthropoda_Insecta_Hymenoptera_Thynnidae_Myzinum_quinquecinctum\6e50aad1-fe27-4fd2-9731-61a4fa510b40.jpg,37,Myzinum quinquecinctum,39,Polistes exclamans,39 37 40 38 111
data\raw\val\03995_Animalia_Chordata_Aves_Passeriformes_Muscicapidae_Phoenicurus_phoenicurus\d5e672e1-b3c7-411b-9b2b-3049a2ac1b1c.jpg,184,Phoenicurus phoenicurus,171,Coccothraustes coccothraustes,171 189 187 165 180
data\raw\val\09593_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Simaroubaceae_Ailanthus_altissima\5dfdc451-efdf-4f31-98d9-8571be9efac7.jpg,479,Ailanthus altissima,308,Hedychium gardnerianum,308 478 479 447 403
data\raw\val\04640_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Tragelaphus_angasii\dbb608d4-b3a3-4b95-ba1c-870e8f56eeb2.jpg,213,Tragelaphus angasii,467,Ficus petiolaris,467 395 347 220 391
data\raw\val\04826_Animalia_Chordata_Mammalia_Rodentia_Sciuridae_Funambulus_pennantii\62bc8538-c2ce-4c1c-b58d-612c40821565.jpg,225,Funambulus pennantii,192,Sitta pygmaea,192 153 225 173 191
data\raw\val\03094_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_serratus\5dcdf2ab-b414-49fa-9037-c40afda4c204.jpg,145,Plethodon serratus,129,Gobiesox maeandricus,129 145 133 235 230
data\raw\val\08189_Plantae_Tracheophyta_Magnoliopsida_Fagales_Fagaceae_Quercus_laevis\38de7ae9-1da6-4d7a-9a39-b5e3233fef03.jpg,397,Quercus laevis,398,Quercus lobata,398 487 391 490 451
data\raw\val\00110_Animalia_Arthropoda_Arachnida_Araneae_Theraphosidae_Aphonopelma_eutylenum\038e429f-cded-4d8a-811e-09d6a2b7821b.jpg,7,Aphonopelma eutylenum,6,Aphonopelma chalcodes,6 7 394 465 347
